taxa	Abundance
k__Fungi	6400.0
k__Fungi|p__Ascomycota	5738.0
k__Fungi|p__Basidiomycota	536.5
k__Fungi|p__Microsporidia	53.0
k__Fungi|p__Mucoromycota	72.5
k__Fungi|p__Ascomycota|c__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	99.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes	498.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	16.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	28.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	4763.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	328.5
k__Fungi|p__Basidiomycota|c__Agaricomycetes	23.5
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes	23.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	216.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	15.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	171.5
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	22.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	64.5
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis	53.0
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	8.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	64.5
k__Fungi|p__Ascomycota|c__|o__	5.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	90.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	9.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	28.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	286.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	183.5
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	16.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	28.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4763.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	31.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	184.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales	15.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	77.5
