taxa	Abundance
k__Fungi	5129.0
k__Fungi|p__Ascomycota	4803.5
k__Fungi|p__Basidiomycota	308.5
k__Fungi|p__Mucoromycota	17.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	97.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	314.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	4231.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	151.5
k__Fungi|p__Ascomycota|c__Xylonomycetes	10.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes	19.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	129.0
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	54.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	106.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	10.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	97.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	214.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	100.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	4231.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	61.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	90.0
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales	10.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	18.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	1.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	129.0
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	54.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	83.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	23.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales	10.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	13.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	83.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	214.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	98.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	2.0
