Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,100000,1.24261410883941,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,100000,1.2343153491392624,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,100000,2.0461315359750163,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,100000,1.050224096817779,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,100000,1.4032913356302406,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5334,Schizophyllum commune H4-8,GCF_000143185.2,38670379,100000,0.3878937933346865,57.5,72.0,Schizophyllaceae,Schizophyllum,Schizophyllum commune,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
121759,Paracoccidioides brasiliensis Pb18,GCF_000150735.1,29952540,100000,0.5007922533447915,44.5,556.0,,Paracoccidioides,Paracoccidioides brasiliensis,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
497107,Candida oxycetoniae,GCF_023343755.2,12748657,100000,1.1765945228583683,38.0,129.0,Debaryomycetaceae,Candida,Candida oxycetoniae,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
199306,Coccidioides posadasii C735 delta SOWgp,GCF_000151335.2,27013412,100000,0.5552797254933957,46.5,55.0,Onygenaceae,Coccidioides,Coccidioides posadasii,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
1071379,Tetrapisispora blattae CBS 6284,GCF_000315915.1,14048593,100000,1.06772258261023,31.5,82.0,Saccharomycetaceae,Tetrapisispora,Tetrapisispora blattae,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
