Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,100000,1.24261410883941,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,100000,1.23431534913926,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,100000,2.04613153597502,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,100000,1.05022409681778,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,100000,1.40329133563024,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1268659,Kwoniella botswanensis,GCF_036426115.1,23007246,100000,0.651968514614917,45.0,3.0,Cryptococcaceae,Kwoniella,Kwoniella botswanensis,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
181014,Alternaria ethzedia,GCF_023757985.1,36016348,100000,0.416477539588411,50.5,585.0,Pleosporaceae,Alternaria,Alternaria ethzedia,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
4911,Kluyveromyces marxianus DMKU3-1042,GCF_001417885.1,10920159,100000,1.3736063733138,40.0,8.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces marxianus,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
41067,Aspergillus candidus,GCF_002847045.1,27317772,100000,0.549093095879122,52.0,316.0,Aspergillaceae,Aspergillus,Aspergillus candidus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
195108,Fusarium falciforme,GCF_026873545.1,53563088,100000,0.280043600174807,49.5,14.0,Nectriaceae,Fusarium,Fusarium falciforme,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
