Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
181014,Alternaria ethzedia,GCF_023757985.1,36016348,100000,0.416477539588411,50.5,585.0,Pleosporaceae,Alternaria,Alternaria ethzedia,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
1187938,Alternaria postmessia,GCF_024291825.1,34409470,100000,0.435926505116179,51.0,739.0,Pleosporaceae,Alternaria,Alternaria postmessia,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
297637,Alternaria triticimaculans,GCF_023758025.1,36788567,100000,0.407735370611201,50.0,238.0,Pleosporaceae,Alternaria,Alternaria triticimaculans,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
5454,Ascochyta rabiei,GCF_004011695.2,40846718,100000,0.367226566403695,49.0,22.0,Didymellaceae,Ascochyta,Ascochyta rabiei,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
54195,Ascoidea rubescens DSM 1968,GCF_001661345.1,17503998,100000,0.856947081461047,33.0,326.0,Ascoideaceae,Ascoidea,Ascoidea rubescens,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
209559,Aspergillus alliaceus,GCF_009176365.1,40168528,100000,0.373426678717229,47.0,418.0,Aspergillaceae,Aspergillus,Aspergillus alliaceus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
41067,Aspergillus candidus,GCF_002847045.1,27317772,100000,0.549093095879122,52.0,316.0,Aspergillaceae,Aspergillus,Aspergillus candidus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
182096,Aspergillus chevalieri,GCF_016861735.1,29697343,100000,0.505095691557322,49.5,8.0,Aspergillaceae,Aspergillus,Aspergillus chevalieri,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
36630,Aspergillus fischeri NRRL 181,GCF_000149645.3,31377515,100000,0.478049329272889,49.5,252.0,Aspergillaceae,Aspergillus,Aspergillus fischeri,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
332952,Aspergillus flavus NRRL3357,GCF_014117465.1,36995582,100000,0.40545381878301,48.0,16.0,Aspergillaceae,Aspergillus,Aspergillus flavus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1160497,Aspergillus glaucus CBS 516.65,GCF_001890805.1,27993362,100000,0.535841318381122,49.5,433.0,Aspergillaceae,Aspergillus,Aspergillus glaucus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5062,Aspergillus oryzae RIB40,GCF_000184455.2,37882812,100000,0.395957934696083,48.5,28.0,Aspergillaceae,Aspergillus,Aspergillus oryzae,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33178,Aspergillus terreus NIH2624,GCF_000149615.1,29331195,100000,0.511400916328162,53.0,267.0,Aspergillaceae,Aspergillus,Aspergillus terreus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45130,Bipolaris sorokiniana ND90Pr,GCF_000338995.1,34409167,100000,0.435930343794722,50.0,504.0,Pleosporaceae,Bipolaris,Bipolaris sorokiniana,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5039,Blastomyces dermatitidis ER-3,GCF_000003525.1,66568269,100000,0.225332583005876,37.0,591.0,Ajellomycetaceae,Blastomyces,Blastomyces dermatitidis,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
87229,Botrytis porri,GCF_014898465.1,46789968,100000,0.320581540042942,40.0,31.0,Sclerotiniaceae,Botrytis,Botrytis porri,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
5007,Brettanomyces bruxellensis,GCF_011074885.1,13150648,100000,1.1406282032642,40.0,9.0,Pichiaceae,Brettanomyces,Brettanomyces bruxellensis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,100000,1.05022409681778,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
42374,Candida dubliniensis CD36,GCF_000026945.1,14618422,100000,1.02610254376293,33.0,8.0,Debaryomycetaceae,Candida,Candida dubliniensis,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
497108,Candida jiufengensis,GCF_024610255.1,13666317,100000,1.09758905782736,27.0,24.0,Debaryomycetaceae,Candida,Candida jiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1775924,Candida margitis,GCF_024628925.1,12909612,100000,1.16192492849514,38.5,201.0,Debaryomycetaceae,Candida,Candida margitis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
273371,Candida orthopsilosis Co 90-125,GCF_000315875.1,12659401,100000,1.18489018556249,37.5,242.0,Debaryomycetaceae,Candida,Candida orthopsilosis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5480,Candida parapsilosis,GCF_000182765.1,12998393,100000,1.15398880461608,38.5,8.0,Debaryomycetaceae,Candida,Candida parapsilosis,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
497109,Candida pseudojiufengensis,GCF_024610245.1,13993769,100000,1.07190564600573,28.0,61.0,Debaryomycetaceae,Candida,Candida pseudojiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1198502,Candida theae,GCF_024610275.1,12421729,100000,1.20756136283443,40.5,231.0,Debaryomycetaceae,Candida,Candida theae,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5482,Candida tropicalis MYA-3404,GCF_000006335.3,14579835,100000,1.02881822736677,33.0,127.0,Debaryomycetaceae,Candida,Candida tropicalis,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1170767,Chaetomium strumarium,GCF_033439665.1,32422668,100000,0.46263928681008,55.5,8.0,Chaetomiaceae,Chaetomium,Chaetomium strumarium,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
89940,Cladophialophora bantiana CBS 173.52,GCF_000835475.1,36722552,100000,0.408468343921196,51.5,140.0,Herpotrichiellaceae,Cladophialophora,Cladophialophora bantiana,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
86049,Cladophialophora carrionii CBS 160.54,GCF_000365165.1,28991111,100000,0.517399971322244,54.5,102.0,Herpotrichiellaceae,Cladophialophora,Cladophialophora carrionii,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
