Name	Rank	Lineage	Taxid	Observed_markers	Read_counts	Percent_observed_markers	Total_marker_coverage	Percent_identity
Saccharomyces cerevisiae S288C	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_cerevisiae	559292	182	7012	100.0%	91.48%	99.89%
Saccharomyces eubayanus	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_eubayanus	1080349	181	6504	100.0%	88.2%	99.92%
Saccharomyces mikatae IFO 1815	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Saccharomyces|species-Saccharomyces_mikatae	226126	142	3624	100.0%	78.01%	99.86%
Kluyveromyces marxianus DMKU3-1042	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Kluyveromyces|species-Kluyveromyces_marxianus	1003335	163	6404	100.0%	87.36%	99.79%
Scheffersomyces stipitis CBS 6054	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Scheffersomyces|species-Scheffersomyces_stipitis	322104	182	7849	100.0%	87.7%	99.79%
Ogataea philodendri	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_philodendri	1378263	152	7340	100.0%	90.07%	99.78%
Candida orthopsilosis Co 90-125	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Candida|species-Candida_orthopsilosis	1136231	168	6809	100.0%	87.23%	99.82%
Candida parapsilosis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Candida|species-Candida_parapsilosis	5480	172	6575	100.0%	86.3%	99.8%
Diutina rugosa	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|genus-Diutina|species-Diutina_rugosa	5481	164	7380	100.0%	88.05%	99.79%
Clavispora lusitaniae ATCC 42720	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Metschnikowiaceae|genus-Clavispora|species-Clavispora_lusitaniae	306902	173	7169	100.0%	88.2%	99.78%
Debaryomyces hansenii CBS767	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Debaryomyces|species-Debaryomyces_hansenii	284592	183	7295	100.0%	87.59%	99.84%
Saprochaete ingens	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Saprochaete|species-Saprochaete_ingens	2606893	187	7735	100.0%	83.84%	99.73%
Priceomyces carsonii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Priceomyces|species-Priceomyces_carsonii	28549	169	6963	100.0%	89.72%	99.63%
Pichia kudriavzevii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Pichia|species-Pichia_kudriavzevii	4909	158	6474	100.0%	87.83%	99.81%
Cyberlindnera jadinii NRRL Y-1542	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Cyberlindnera|species-Cyberlindnera_jadinii	983966	172	7767	100.0%	88.74%	99.8%
Suhomyces tanzawaensis NRRL Y-17324	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Suhomyces|species-Suhomyces_tanzawaensis	984487	180	7798	100.0%	87.19%	99.8%
Naumovozyma castellii CBS 4309	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Naumovozyma|species-Naumovozyma_castellii	1064592	182	7178	100.0%	89.64%	99.8%
Torulaspora delbrueckii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Torulaspora|species-Torulaspora_delbrueckii	4950	175	7297	100.0%	87.43%	99.79%
Saccharomycodes ludwigii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycodaceae|genus-Saccharomycodes|species-Saccharomycodes_ludwigii	36035	152	6283	100.0%	89.81%	99.71%
Sordaria macrospora k-hell	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Sordaria|species-Sordaria_macrospora	771870	197	6429	99.49%	80.98%	99.9%
Yarrowia lipolytica CLIB122	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Dipodascaceae|genus-Yarrowia|species-Yarrowia_lipolytica	284591	186	7132	99.47%	85.75%	99.88%
Hyphopichia burtonii NRRL Y-1933	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Hyphopichia|species-Hyphopichia_burtonii	984485	181	7345	99.45%	87.04%	99.8%
Zygotorulaspora mrakii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Zygotorulaspora|species-Zygotorulaspora_mrakii	42260	177	7397	99.44%	87.88%	99.8%
Tetrapisispora phaffii CBS 4417	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Tetrapisispora|species-Tetrapisispora_phaffii	1071381	171	6578	99.42%	88.28%	99.8%
Wickerhamomyces ciferrii	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Wickerhamomyces|species-Wickerhamomyces_ciferrii	1041607	168	4970	99.41%	79.12%	99.84%
Brettanomyces bruxellensis	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Brettanomyces|species-Brettanomyces_bruxellensis	5007	169	6503	99.41%	86.05%	98.97%
Lodderomyces elongisporus NRRL YB-4239	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Debaryomycetaceae|genus-Lodderomyces|species-Lodderomyces_elongisporus	379508	165	6726	99.4%	85.32%	99.57%
Eremothecium cymbalariae DBVPG#7215	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Saccharomycetaceae|genus-Eremothecium|species-Eremothecium_cymbalariae	931890	162	6075	99.39%	87.84%	99.8%
Ascoidea rubescens DSM 1968	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Ascoideaceae|genus-Ascoidea|species-Ascoidea_rubescens	1344418	161	6079	99.38%	83.67%	99.82%
Ogataea polymorpha	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Pichiaceae|genus-Ogataea|species-Ogataea_polymorpha	460523	157	6578	99.37%	86.46%	99.93%
Komagataella phaffii GS115	species	phylum-Ascomycota|class-Saccharomycetes|order-Saccharomycetales|family-Phaffomycetaceae|genus-Komagataella|species-Komagataella_phaffii	644223	158	6188	99.37%	84.97%	99.87%
Malassezia restricta	species	phylum-Basidiomycota|class-Malasseziomycetes|order-Malasseziales|family-Malasseziaceae|genus-Malassezia|species-Malassezia_restricta	76775	149	7614	99.33%	86.75%	99.78%
Verruconis gallopava	species	phylum-Ascomycota|class-Dothideomycetes|order-Venturiales|family-Sympoventuriaceae|genus-Verruconis|species-Verruconis_gallopava	253628	196	7485	98.99%	85.12%	99.73%
Neurospora crassa OR74A	species	phylum-Ascomycota|class-Sordariomycetes|order-Sordariales|family-Sordariaceae|genus-Neurospora|species-Neurospora_crassa	367110	186	4809	98.94%	70.75%	99.97%
Bipolaris sorokiniana ND90Pr	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Pleosporaceae|genus-Bipolaris|species-Bipolaris_sorokiniana	665912	203	6651	98.54%	80.16%	99.97%
Cladophialophora bantiana CBS 173.52	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Herpotrichiellaceae|genus-Cladophialophora|species-Cladophialophora_bantiana	1442370	200	7363	98.52%	83.3%	99.95%
Ascochyta rabiei	species	phylum-Ascomycota|class-Dothideomycetes|order-Pleosporales|family-Didymellaceae|genus-Ascochyta|species-Ascochyta_rabiei	5454	198	6720	98.51%	81.27%	99.88%
Microsporum canis CBS 113480	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Microsporum|species-Microsporum_canis	554155	198	6943	98.51%	81.77%	99.67%
Cyphellophora europaea CBS 101466	species	phylum-Ascomycota|class-Eurotiomycetes|order-Chaetothyriales|family-Cyphellophoraceae|genus-Cyphellophora|species-Cyphellophora_europaea	1220924	196	8084	98.49%	85.93%	99.77%
Aspergillus fischeri NRRL 181	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_fischeri	331117	204	5761	98.08%	75.45%	99.97%
Nannizzia gypsea CBS 118893	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|family-Arthrodermataceae|genus-Nannizzia|species-Nannizzia_gypsea	535722	191	6717	97.45%	79.35%	99.72%
Aspergillus glaucus CBS 516.65	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Aspergillaceae|genus-Aspergillus|species-Aspergillus_glaucus	1160497	200	5879	96.62%	76.94%	99.95%
Botrytis porri	species	phylum-Ascomycota|class-Leotiomycetes|order-Helotiales|family-Sclerotiniaceae|genus-Botrytis|species-Botrytis_porri	87229	195	5183	96.53%	74.37%	99.97%
Paracoccidioides brasiliensis Pb18	species	phylum-Ascomycota|class-Eurotiomycetes|order-Onygenales|genus-Paracoccidioides|species-Paracoccidioides_brasiliensis	502780	194	5272	96.52%	72.7%	99.96%
Trichosporon asahii var. asahii CBS 2479	no rank	phylum-Basidiomycota|class-Tremellomycetes|order-Trichosporonales|family-Trichosporonaceae|genus-Trichosporon|species-Trichosporon_asahii	1186058	132	4868	96.35%	75.52%	99.77%
Talaromyces marneffei ATCC 18224	species	phylum-Ascomycota|class-Eurotiomycetes|order-Eurotiales|family-Trichocomaceae|genus-Talaromyces|species-Talaromyces_marneffei	441960	197	6398	96.1%	78.9%	99.71%
Xylona heveae TC161	species	phylum-Ascomycota|class-Xylonomycetes|order-Xylonales|family-Xylonaceae|genus-Xylona|species-Xylona_heveae	1328760	196	6428	96.08%	80.6%	99.62%
