Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,160951.0,2,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,162033.0,2,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,97745.0,2,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,190436.0,2,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,142522.0,2,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1005962,Ogataea parapolymorpha DL-1,GCF_000187245.1,8874589,118328.0,2,48.0,10.0,Pichiaceae,Ogataea,Ogataea parapolymorpha,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
254056,Fonsecaea monophora,GCF_001642475.1,35229797,469731.0,2,52.0,324.0,Herpotrichiellaceae,Fonsecaea,Fonsecaea monophora,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76773,Malassezia globosa CBS 7966,GCF_000181695.2,8954998,119400.0,2,52.0,62.0,Malasseziaceae,Malassezia,Malassezia globosa,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
27322,Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993,GCF_001664035.1,16055203,214069.0,2,48.0,582.0,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
5147,Sordaria macrospora k-hell,GCF_000182805.3,38151803,508691.0,2,52.0,2091.0,Sordariaceae,Sordaria,Sordaria macrospora,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
318751,Westerdykella ornata,GCF_010094085.1,26979746,359730.0,2,53.0,208.0,Sporormiaceae,Westerdykella,Westerdykella ornata,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
4924,Scheffersomyces stipitis CBS 6054,GCF_000209165.1,15441179,205882.0,2,41.0,9.0,Debaryomycetaceae,Scheffersomyces,Scheffersomyces stipitis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
42374,Candida dubliniensis CD36,GCF_000026945.1,14618422,194912.0,2,33.0,8.0,Debaryomycetaceae,Candida,Candida dubliniensis,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5061,Aspergillus niger,GCF_000002855.4,33975768,453010.0,2,50.5,469.0,Aspergillaceae,Aspergillus,Aspergillus niger,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4754,Pneumocystis carinii B80,GCF_001477545.1,7661456,102153.0,2,28.0,62.0,Pneumocystaceae,Pneumocystis,Pneumocystis carinii,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
45513,Scheffersomyces spartinae,GCF_019049425.1,12132557,161767.0,2,38.5,103.0,Debaryomycetaceae,Scheffersomyces,Scheffersomyces spartinae,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
