Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,160951.0,2,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,162033.0,2,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,97745.0,2,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,190436.0,2,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,142522.0,2,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
54550,Myxozyma melibiosi,GCF_037950935.1,15330035,204400.0,2,51.5,24.0,Lipomycetaceae,Myxozyma,Myxozyma melibiosi,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
82508,Trichosporon asahii var. asahii CBS 2479,GCF_000293215.1,24507743,326770.0,2,59.5,341.0,Trichosporonaceae,Trichosporon,Trichosporon asahii,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
497108,Candida jiufengensis,GCF_024610255.1,13666317,182218.0,2,27.0,24.0,Debaryomycetaceae,Candida,Candida jiufengensis,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
104669,Cryptococcus amylolentus CBS 6039,GCF_001720205.1,20254996,270067.0,2,53.5,18.0,Cryptococcaceae,Cryptococcus,Cryptococcus amylolentus,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46583,Suhomyces tanzawaensis NRRL Y-17324,GCF_001661415.1,13136204,175149.0,2,45.5,249.0,Debaryomycetaceae,Suhomyces,Suhomyces tanzawaensis,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
27288,Naumovozyma castellii CBS 4309,GCF_000237345.1,11219539,149594.0,2,37.0,17.0,Saccharomycetaceae,Naumovozyma,Naumovozyma castellii,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5551,Trichophyton rubrum CBS 118892,GCF_000151425.1,22502330,300031.0,2,48.5,622.0,Arthrodermataceae,Trichophyton,Trichophyton rubrum,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1304137,Scheffersomyces xylosifermentans,GCF_036884685.1,17250428,230006.0,2,40.0,11.0,Debaryomycetaceae,Scheffersomyces,Scheffersomyces xylosifermentans,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
176275,Beauveria bassiana ARSEF 2860,GCF_000280675.1,33693936,449252.0,2,51.5,1226.0,Cordycipitaceae,Beauveria,Beauveria bassiana,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
293939,Aspergillus lentulus,GCF_010724455.1,30229310,403057.0,2,50.0,799.0,Aspergillaceae,Aspergillus,Aspergillus lentulus,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
36911,Clavispora lusitaniae ATCC 42720,GCF_000003835.1,12114892,161532.0,2,44.5,88.0,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1859122,Cryptococcus decagattii,GCF_036417295.1,17768546,236914.0,2,48.0,14.0,Cryptococcaceae,Cryptococcus,Cryptococcus decagattii,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
36630,Aspergillus fischeri NRRL 181,GCF_000149645.3,31377515,418367.0,2,49.5,252.0,Aspergillaceae,Aspergillus,Aspergillus fischeri,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
