Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
181014,Alternaria ethzedia,GCF_023757985.1,36016348,480218.0,2,50.5,585.0,Pleosporaceae,Alternaria,Alternaria ethzedia,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
1187938,Alternaria postmessia,GCF_024291825.1,34409470,458793.0,2,51.0,739.0,Pleosporaceae,Alternaria,Alternaria postmessia,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
297637,Alternaria triticimaculans,GCF_023758025.1,36788567,490514.0,2,50.0,238.0,Pleosporaceae,Alternaria,Alternaria triticimaculans,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes
5454,Ascochyta rabiei,GCF_004011695.2,40846718,544623.0,2,49.0,22.0,Didymellaceae,Ascochyta,Ascochyta rabiei,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
54195,Ascoidea rubescens DSM 1968,GCF_001661345.1,17503998,233387.0,2,33.0,326.0,Ascoideaceae,Ascoidea,Ascoidea rubescens,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
209559,Aspergillus alliaceus,GCF_009176365.1,40168528,535580.0,2,47.0,418.0,Aspergillaceae,Aspergillus,Aspergillus alliaceus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
41067,Aspergillus candidus,GCF_002847045.1,27317772,364237.0,2,52.0,316.0,Aspergillaceae,Aspergillus,Aspergillus candidus,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
182096,Aspergillus chevalieri,GCF_016861735.1,29697343,395965.0,2,49.5,8.0,Aspergillaceae,Aspergillus,Aspergillus chevalieri,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
36630,Aspergillus fischeri NRRL 181,GCF_000149645.3,31377515,418367.0,2,49.5,252.0,Aspergillaceae,Aspergillus,Aspergillus fischeri,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
332952,Aspergillus flavus NRRL3357,GCF_014117465.1,36995582,493274.0,2,48.0,16.0,Aspergillaceae,Aspergillus,Aspergillus flavus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
