Taxid,Species,Accession,GenomeLength,NumReads,AvgCoverage,GC,NumContigs,Family name,Genus name,Species name,KrakenDetected_Species,KrakenDetected_Genus,KrakenDetected_Family,EukDetected_Species,EukDetected_Genus,EukDetected_Family,MetaphlanDetected_Species,MetaphlanDetected_Genus,MetaphlanDetected_Family,HMSDetected_Species,HMSDetected_Genus,HMSDetected_Family,HMSDetectedFamily,FunOMICDetected_Species,FunOMICDetected_Genus,FunOMICDetected_Family,MiCoPDetected_Species,MiCoPDetected_Genus,MiCoPDetected_Family
4932,Saccharomyces cerevisiae S288C,GCF_000146045.2,12071326,160951.0,2,38.5,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces cerevisiae,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4959,Debaryomyces hansenii CBS767,GCF_000006445.2,12152486,162033.0,2,36.5,14.0,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76775,Malassezia restricta,GCF_003290485.1,7330907,97745.0,2,56.0,9.0,Malasseziaceae,Malassezia,Malassezia restricta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
5476,Candida albicans SC5314,GCF_000182965.3,14282666,190436.0,2,33.5,88.0,Debaryomycetaceae,Candida,Candida albicans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28985,Kluyveromyces lactis,GCF_000002515.2,10689156,142522.0,2,39.0,6.0,Saccharomycetaceae,Kluyveromyces,Kluyveromyces lactis,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
61262,Kazachstania barnettii,GCF_903064755.1,12616033,168214.0,2,33.5,71.0,Saccharomycetaceae,Kazachstania,Kazachstania barnettii,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
5061,Aspergillus niger,GCF_000002855.4,33975768,453010.0,2,50.5,469.0,Aspergillaceae,Aspergillus,Aspergillus niger,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
40127,Neurospora tetrasperma FGSC 2508,GCF_000213175.1,39146333,521951.0,2,49.5,551.0,Sordariaceae,Neurospora,Neurospora tetrasperma,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
114524,Saccharomyces kudriavzevii IFO 1802,GCF_947243775.1,11913776,158850.0,2,40.0,16.0,Saccharomycetaceae,Saccharomyces,Saccharomyces kudriavzevii,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
4952,Yarrowia lipolytica CLIB122,GCF_000002525.2,20502981,273373.0,2,49.0,18.0,Dipodascaceae,Yarrowia,Yarrowia lipolytica,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
