taxa	Abundance
k__Fungi	10475.5
k__Fungi|p__Ascomycota	9401.0
k__Fungi|p__Basidiomycota	852.5
k__Fungi|p__Microsporidia	45.5
k__Fungi|p__Mucoromycota	176.5
k__Fungi|p__Ascomycota|c__	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes	256.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	1070.5
k__Fungi|p__Ascomycota|c__Leotiomycetes	14.0
k__Fungi|p__Ascomycota|c__Pezizomycetes	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	27.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	7053.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	972.5
k__Fungi|p__Basidiomycota|c__Agaricomycetes	60.0
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes	55.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	232.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	39.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes	349.5
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	62.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes	54.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis	45.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes	43.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes	133.5
k__Fungi|p__Ascomycota|c__|o__	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	218.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	37.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	61.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	616.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	393.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	14.0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	27.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	7053.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	81.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	543.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales	30.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	225.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales	93.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	55.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales	5.0
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales	55.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	232.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	39.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	302.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	47.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	62.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales	54.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis|o__Microsporidia incertae sedis	45.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales	43.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	133.5
k__Fungi|p__Ascomycota|c__|o__|f__	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis|f__Pseudoperisporiaceae	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	51.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae	130.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae	36.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae	37.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	61.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	414.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae	87.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae	115.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	127.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	168.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenales incertae sedis	97.5
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	14.0
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae	1.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae	27.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Ascoideaceae	35.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	3177.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	45.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae	76.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	320.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae	34.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae	224.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	3074.5
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetales incertae sedis	33.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycopsidaceae	33.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae	81.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Bionectriaceae	3.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae	72.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreales incertae sedis	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	463.5
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Stachybotryaceae	2.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Microascaceae	30.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	47.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	177.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae	61.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Xylariaceae	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Xylariales incertae sedis	31.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae	55.0
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Rhizopogonaceae	5.0
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales|f__Cryptobasidiaceae	55.0
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	232.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales|f__Sporidiobolaceae	39.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	302.5
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales|f__Trichosporonaceae	47.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae	62.0
k__Fungi|p__Basidiomycota|c__Wallemiomycetes|o__Wallemiales|f__Wallemiaceae	54.0
k__Fungi|p__Microsporidia|c__Microsporidia incertae sedis|o__Microsporidia incertae sedis|f__Unikaryonidae	45.5
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae	43.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Chaetocladiaceae	1.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Choanephoraceae	4.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lichtheimiaceae	2.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae	44.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Phycomycetaceae	1.0
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Rhizopodaceae	81.0
k__Fungi|p__Ascomycota|c__|o__|f__|g__	7.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideomycetes incertae sedis|f__Pseudoperisporiaceae|g__Lizonia	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Ascochyta	43.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Epicoccum	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Macroventuria	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Phoma	2.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Sclerotiophoma	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae|g__Leptosphaeria	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	124.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Bipolaris	4.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Curvularia	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Exserohilum	1.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Sporormiaceae|g__Westerdykella	36.0
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales|f__Sympoventuriaceae|g__Verruconis	37.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Fonsecaea	41.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora	20.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Aspergillus	414.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae|g__Byssochlamys	34.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Thermoascaceae|g__Paecilomyces	52.5
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces	115.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Blastomyces	118.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae|g__Emergomyces	3.0
