taxa	Abundance
k__Fungi	8962.0
k__Fungi|p__Ascomycota	8470.5
k__Fungi|p__Basidiomycota	411.0
k__Fungi|p__Mucoromycota	80.5
k__Fungi|p__Ascomycota|c__Dothideomycetes	208.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes	966.0
k__Fungi|p__Ascomycota|c__Leotiomycetes	11.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes	54.0
k__Fungi|p__Ascomycota|c__Saccharomycetes	6540.0
k__Fungi|p__Ascomycota|c__Sordariomycetes	691.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes	134.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes	44.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes	173.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	59.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes	80.5
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	208.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	93.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	622.0
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	251.0
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	11.0
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	54.0
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	6540.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	34.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	419.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales	1.0
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	237.5
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	134.5
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	44.0
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	173.0
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	59.5
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	80.5
